Country Name,GDP growth (annual %),GDP (constant 2015 US$),GDP per capita (constant 2015 US$),"Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)","Manufacturing, value added (% of GDP)","Services, value added (% of GDP)"
Afghanistan,-2.351100673,20621946476,529.7412103,26.82060011,14.0316991,7.676256858,54.68834226
Albania,-3.955397927,12457862571,4390.060189,19.12196261,20.0626467,6.189674633,48.35834199
Algeria,-5.1,1.68E+11,3834.438983,14.13479259,20.28229746,18.8249165,48.74145715
Angola,-5.39998739,1.04E+11,3168.253873,9.492693242,45.94845982,6.828475157,39.62006992
Antigua and Barbuda,-20.19237057,1301036618,13285.64474,2.214197678,21.10326075,2.430698207,65.30801998
Argentina,-9.895268964,5.15E+11,11344.40574,5.932404494,23.31121838,15.36920683,54.61267449
Armenia,-7.4,11915301005,4021.046264,11.21342391,27.05522612,12.38572636,53.15599565
Australia,-0.003836559,1.49E+12,58043.58066,2.006092285,25.46209587,5.65111421,66.28080849
Austria,-6.734514076,3.86E+11,43327.34622,1.099908742,25.45785285,16.26414081,63.14566498
Azerbaijan,-4.3,51307185973,5083.381639,6.92551103,41.38794624,5.767738658,42.03268712
"Bahamas, The",-14.5144814,10700067638,27209.46486,0.438051981,11.64269493,1.262679788,75.71334847
Bahrain,-5.085180213,33206179338,19514.87488,0.312830492,40.27633232,18.12540635,56.65149611
Bangladesh,3.509135882,2.71E+11,1643.67331,12.9170779,29.53989081,18.51181332,53.40254071
Belarus,-0.9,58482352925,6234.824328,6.829313089,31.30062719,21.47721862,49.07486769
Belgium,-5.65965987,4.67E+11,40381.53882,0.638136421,19.47408244,12.37946573,69.58140518
Belize,-14.01053215,1577955711,3968.491883,10.70997806,15.57874766,7.437907629,66.28254398
Benin,3.8487924,14725558673,1214.659587,27.10917504,16.29054905,9.687913103,47.89733209
Bhutan,-10.07634112,2221963714,2879.638619,19.23232005,34.41265413,5.946177845,43.67572519
Bolivia,-8.82949362,34820961247,2983.027049,14.02278663,23.39803363,10.84437221,52.86606892
Bosnia and Herzegovina,-3.196950134,17825164474,5433.151358,6.098462285,24.55622866,12.83827131,55.78793216
Botswana,-8.492893511,14813376719,6299.208725,2.112227938,27.52630505,5.620843292,65.1796208
Brazil,-4.059048273,1.75E+12,8228.78051,5.905569345,17.65010882,9.769890055,62.92238364
Brunei Darussalam,1.133573351,13429361906,30696.87715,1.217502927,59.13363013,15.76985851,41.45035468
Burkina Faso,1.93032489,15291209207,731.5220707,18.39807893,32.5913248,9.302578012,40.82609106
Cabo Verde,-14.78340501,1632003278,2935.321046,4.864050185,23.08724765,7.347107713,58.86155918
Cambodia,-3.147589098,23012192756,1376.412027,22.37922556,34.8012044,16.4305741,36.59897182
Cameroon,0.491914742,37686544900,1419.676711,17.38179045,23.34928578,13.29065202,51.98248609
Central African Republic,0.829010003,2001437873,414.3966191,32.14426478,20.0702307,17.70327266,39.20330633
Chad,-0.947304885,10426343411,634.7517905,46.34120702,15.78995689,3.157996908,43.8185061
Chile,-5.771501669,2.48E+11,12954.40535,3.862609226,31.42585588,9.929367912,56.47894677
China,2.347513573,1.46E+13,10370.35929,7.653066548,37.82091725,26.17590672,54.5260162
Colombia,-6.795758107,3.00E+11,5892.481636,7.645057586,23.89386408,11.01522259,59.54204781
"Congo, Dem. Rep.",1.735422764,45259706748,505.348339,20.88341888,41.21359589,18.99122966,35.70764289
Costa Rica,-4.063676535,61668979511,12105.92843,4.673696575,19.74133217,12.49802107,68.4785063
Cote d'Ivoire,1.958332479,61033878289,2313.793388,21.38539185,20.85690155,11.19580966,42.13078787
Croatia,-8.099761252,52557893779,12986.23586,3.216507471,21.15532384,12.12449825,59.34969885
Cuba,-10.94834097,81054474018,7156.106821,2.761942023,23.01866756,11.19681049,73.50957597
Curacao,-18.4,2364843107,15255.67437,0.201570871,15.07194464,4.147444389,75.28302208
Cyprus,-5.2289881,23579790561,26372.65469,1.937074411,12.64677907,5.543676339,74.20384705
